Techniques,Links  tutorial
Genomic DNA isolation,https://youtu.be/xlrwef2Y3f0?si=jgsHBpjUFjnfhR5C
Comprehensive review of CRISPR-based gene editing,1:  https://youtu.be/2pp17E4E-O8?si=We9m_jyfdbx4nIB5
,2: https://youtu.be/tNocAc5TKvw?si=EaWIB-d8xi_nLkK6
Epigenomics,1: https://youtu.be/IAu44BkOaSs?si=vHgLZBZdPvu9A0X2
,2: https://youtu.be/_l79NhYKYr4
Next-generation sequencing analysis,https://youtu.be/WKAUtJQ69n8?si=u68GuS5mKqQYIEBv
Phylogenetic,https://youtu.be/dmCCQRliEMk
Metagenomics,https://youtu.be/QPO3NssMQOA?si=4EY7FEBJHfeFA_qW
Structural genomics,https://youtu.be/TP-H9epbsTM?si=hgfLlDdKJV8bkYzh
Gene annotation,https://youtu.be/Ouzw8648COg?si=32GDytN-snMdh_M1
