Language  ,Tutorial Links
       Java,https://youtu.be/JPOzWljLYuU?si=KYIUOh0SLdMYyliw
 phyton,https://youtu.be/fr1f84rg4Nw?si=_U-7yvzR6_v4mKtu
        C++,https://youtu.be/1tON1Ui9ksk?si=cd_xZbsxrZXzO8JM
        R,https://youtube.com/playlist?list=PLjVLYmrlmjGdmPrz0Lx7smkd0qIKHInOF&si=-uZThmgRRYWgPK1f
 JavaScript,https://youtube.com/playlist?list=PLu0W_9lII9ahR1blWXxgSlL4y9iQBnLpR&si=x2SN-AHqUKPuEn2D
       CSS,https://youtu.be/KRXsAGEYrwo?si=J-_YM8Xf8sN1Tru8
      Perl,https://youtu.be/wGZETyRX62M?si=D2zP64znUg0_GIDO
    HTML,https://youtu.be/BsDoLVMnmZs?si=TZmyG645hkvhwGil
    Linux,https://youtu.be/_tCY-c-sPZc?si=Iw6K3dMlukh8pIzu
,https://youtu.be/J8odohybOIM?si=9C860W1vGe91vRXp
     ,
Linux Techniques tutorials,
     NGS,https://youtu.be/yxauG_pj2CI?si=JjNeInAmR-MLLTP9
,https://youtu.be/E1n-Z2HDAD0?si=VGjNGGEcM6w2woFe
RNA Seq,https://youtu.be/ppNK2gimo4Q?si=piQ0KuFnOW8gTDhE
,https://youtu.be/iftKVj4O-30?si=XNNnX9O4hp1aTNhg
